Lon,Lat,RP50,RP100,Dur_hist,Dur_RP50,Dur_RP100,ST_A_perc,ST_B_perc,ST_C_perc,ST_D_perc
-5.6682,35.8455,1.41716730881929,1.45436166235591,6.5714,6.8003012436715,6.84429900606047,0,86.6666666666667,13.3333333333333,0
-5.7372,36.0555,1.51515949577094,1.55643385406167,6.54548888888889,6.71393244421139,6.72999322625479,0,96,4,0
-5.7447,36.0577,1.52132724585183,1.56340309636447,6.54806666666667,6.72096698514486,6.75112316851279,0,96,4,0
-5.7515,36.0602,1.58179905654206,1.62419946521876,6.53871111111111,6.79169322673343,6.84486458919491,0,97.3333333333333,2.66666666666667,0
-5.7591,36.0597,1.58527053954623,1.62771059107903,6.54257777777778,6.6805788595299,6.68277740378391,0,97.3333333333333,2.66666666666667,0
-5.7675,36.0624,1.57987238564652,1.62128708937216,6.54284444444444,6.67598716366824,6.6777298677706,0,97.3333333333333,2.66666666666667,0
-5.7839,36.0692,1.62224619385358,1.66443453253408,6.52982222222222,6.61488134138648,6.6095250338465,0,97.3333333333333,2.66666666666667,0
-5.7757,36.0653,1.58330442911044,1.62546511772144,6.54186666666667,6.69493091282184,6.69968460353436,0,97.3333333333333,2.66666666666667,0
-5.7912,36.07,1.6198043960497,1.66107542825002,6.53673245614035,6.65156343524541,6.6482934084239,0,97.3684210526316,2.63157894736842,0
-5.7964,36.0744,1.60981603203963,1.64866996020364,6.52273333333333,6.64162715542284,6.6410313434201,0,98.6666666666667,1.33333333333333,0
-5.8037,36.072,1.6214092134147,1.66274133481441,6.54762222222222,6.64286132124652,6.63911339701761,0,97.3333333333333,2.66666666666667,0
-5.8104,36.0752,1.62344395552945,1.66481654470427,6.54571111111111,6.60959166879985,6.60648969309464,0,97.3333333333333,2.66666666666667,0
-5.8172,36.0783,1.66585615740676,1.70742871441445,6.53042222222222,6.67117856018083,6.67628112971977,0,98.6666666666667,1.33333333333333,0
-5.8234,36.0824,1.66954105846753,1.7113275544096,6.52302222222222,6.75331404829694,6.78474849361714,0,98.6666666666667,1.33333333333333,0
-5.829,36.087,1.68291316620676,1.7240011847288,6.51797777777778,6.72934590233587,6.76702044998743,0,98.6666666666667,1.33333333333333,0
-5.8348,36.0935,1.67031668033777,1.70908815652659,6.50788888888889,6.71805539892837,6.75470915787551,0,98.6666666666667,1.33333333333333,0
-5.8395,36.1008,1.67231450550193,1.71184991099453,6.50530701754386,6.70938270707523,6.74481226185646,0,98.6842105263158,1.31578947368421,0
-5.8452,36.1079,1.66050162986277,1.69861394069959,6.49522222222222,6.74232723536172,6.78663666152574,0,98.6666666666667,1.33333333333333,0
-5.8521,36.1157,1.68767622849995,1.7258348065635,6.50795555555556,6.75721879695263,6.80386291215668,0,98.6666666666667,1.33333333333333,0
-5.8617,36.1228,1.70790580364865,1.74783939575509,6.49419831223629,6.7254427093021,6.75744822013831,0,98.7341772151899,1.26582278481013,0
-5.8709,36.1308,1.70419823641104,1.7430357108585,6.52306666666667,6.71672331613482,6.75415475194705,0,98.6666666666667,1.33333333333333,0
-5.8804,36.1386,1.69598951432172,1.73302136990727,6.51857777777778,6.75035219037086,6.79461249063162,0,98.6666666666667,1.33333333333333,0
-5.8904,36.146,1.7172115048487,1.75462565513889,6.51140350877193,6.73717531470513,6.78080349143451,0,98.6842105263158,1.31578947368421,0
-5.899,36.1533,1.7148241768975,1.75112435561192,6.50891111111111,6.72703265361882,6.76656608273848,0,98.6666666666667,1.33333333333333,0
-5.9092,36.1507,1.72397702853541,1.76212988220301,6.51206666666667,6.7484920352713,6.79440187676019,0,98.6666666666667,1.33333333333333,0
-5.919,36.1558,1.74516024574523,1.78337297043631,6.51655555555556,6.71352516336285,6.75185359769387,0,98.6666666666667,1.33333333333333,0
-5.9267,36.1649,1.75342801967555,1.79220548356185,6.50891111111111,6.73095187226027,6.77510470984743,0,98.6666666666667,1.33333333333333,0
-5.936,36.1637,1.77087035951695,1.81220998405687,6.50855555555555,6.75128859905525,6.79945177607296,0,98.6666666666667,1.33333333333333,0
-5.9452,36.1632,1.77397538274951,1.81539357992832,6.52703947368421,6.69211748345005,6.72419517078675,0,98.6842105263158,1.31578947368421,0
-5.9568,36.1619,1.81323236898125,1.85598779733012,6.51911111111111,6.72776198185132,6.76930537265894,0,98.6666666666667,1.33333333333333,0
-5.9692,36.1601,1.81668961875349,1.85885010351814,6.52197777777778,6.74943973919045,6.79301332755918,0,98.6666666666667,1.33333333333333,0
-5.9809,36.1611,1.81531799209996,1.85613460960712,6.52355263157895,6.74201745184416,6.78368707882847,0,98.6842105263158,1.31578947368421,0
-5.9936,36.162,1.85585226853164,1.89711909895252,6.51897777777778,6.70150449991091,6.73665472259045,0,98.6666666666667,1.33333333333333,0
-6.0035,36.1619,1.85817778093312,1.89921800719431,6.52564444444445,6.6881231204358,6.71946575397163,0,98.6666666666667,1.33333333333333,0
-6.0102,36.1543,1.85797205702221,1.89919985260146,6.52182222222222,6.72191046466026,6.76025009089667,0,98.6666666666667,1.33333333333333,0
-6.0217,36.155,1.89385102889642,1.93448977931949,6.51284444444445,6.69391567690544,6.72914191672724,0,98.6666666666667,1.33333333333333,0
-6.032,36.1573,1.89470373730076,1.93444670622496,6.5056,6.71415312993575,6.75469906881552,0,98.6666666666667,1.33333333333333,0
-6.0376,36.1499,1.91136468347069,1.95543762488478,6.52144444444444,6.74301205998575,6.78559620292712,0,98.6666666666667,1.33333333333333,0
-6.0478,36.1536,1.91863437617556,1.96213331598169,6.50704444444444,6.75744362812952,6.80519244370866,0,98.6666666666667,1.33333333333333,0
-6.0596,36.155,1.95072321700848,1.99116519261362,6.49506666666667,6.70315262361576,6.74364367268999,0,98.6666666666667,1.33333333333333,0
